sentence1,sentence2,label
Ukrainian President Leonid Kuchma today cut short a visit to Latin America as a bitter border wrangle between Ukraine and Russia deteriorates further .,The dispute has led Ukrainian president Leonid Kuchma to cut short a state visit to Latin America .,1
"For the weekend , the top 12 movies grossed $ 157.1 million , up 52 percent from the same weekend a year earlier .","The overall box office soared , with the top 12 movies grossing $ 157.1 million , up 52 percent from a year ago .",1
Platinum prices soared to 23-year highs earlier this year after President Bush ( news - web sites ) proposed investing $ 1.2 billion for research on fuel cell-powered vehicles .,Platinum prices soared to 23-year highs earlier this year after U.S. President George W. Bush proposed investing $ 1.2 billion for research on fuel cell-powered vehicles .,1
""" Nobody really knows what happened except me and that guard , "" Kaye said , "" and I can assure you that what he said happened didn 't happen . """,""" Nobody really knows what happened there except for me and the guard , and I can assure you that what he said happened didn 't happen , "" Kaye said .",1
Shares of Corixa fell 12 cents to $ 6.88 as of 3 : 59 p.m.,Shares of Corixa fell 12 cents to $ 6.88 on the Nasdaq stock market .,0
At the time federal investigators were looking into how CFSB allocated shares of initial public stock offerings .,A federal grand jury and the Securities and Exchange Commission were looking into how the company allocated shares of initial public stock offerings .,1
Qanbar said the council members would possibly elect a chairman later Sunday .,US authorities have said the council would include 20 to 25 members .,0
October heating oil futures settled .85 cent lower at 69.89 cents a gallon .,October heating oil ended down 0.41 cent to 70.74 cents a gallon .,1
"By 2007 , antivirus solutions will carry a worldwide price tag of $ 4.4 billion--double that of five years earlier .","By 2007 , antivirus solutions will carry a worldwide price tag double that of 2002 : $ 4.4 billion .",1
The Securities and Exchange Commission brought a related civil case on Thursday .,The Securities and Exchange Commission filed a civil fraud suit against the teen in Boston .,0
"ConAgra stock closed Monday on the New York Stock Exchange at $ 21.63 a share , down 11 cents .","ConAgra shares closed Monday at $ 21.63 a share , down 11 cents , on the New York Stock Exchange .",1
One of the features is the ability to delete data on a handheld device or lock down the device should a user lose it .,One of the features is the ability to delete data on a handheld device if a user loses or locks down the device .,1
""" I just got carried away and started making stuff , "" Byrne said .","Byrne says he got carried away with PowerPoint and just "" started making stuff . """,1
"Georgia cannot afford to not get funding , "" said Dr. Melinda Rowe , Chatham County 's health director .","Georgia cannot afford to not get funding , "" said county health director Dr. Melinda Rowe .",1
"Handspring shareholders will get 0.09 shares of the parent company , Palm , Inc . , for each share of Handspring common stock they currently own .",Handspring 's shareholders will receive 0.09 Palm shares ( and no shares of PalmSource ) for each share of Handspring common stock they own .,1
Shares of Microsoft rose 50 cents Friday to close at $ 28.34 a share on the Nasdaq Stock Market .,"Microsoft 's stock was up 50 cents , to $ 28.34 a share in New York yesterday .",1
"Based on having at least one of the symptoms , most students had been hung over between three and 11 times in the previous year .",On average the students suffered at least one of the 13 symptoms between three and 11 times in the last year .,1
"Tibco has used the Rendezvous name since 1994 for several of its technology products , according to the Palo Alto , California company .","Tibco has used the Rendezvous name since 1994 for several of its technology products , it said .",1
"A few thousand troops , most from the division 's 3rd Brigade Combat Team based at Fort Benning in Columbus , began returning last week , with flights continuing through Friday .","Several thousand 3rd Infantry troops , including the 3rd Brigade Combat Team based at Fort Benning in Columbus , Ga . , began returning last week .",1
"In a televised interview on Wednesday , ECB President Wim Duisenberg said it was too soon to discuss further interest rate cuts in the 12-nation euro zone .",European Central Bank President Wim Duisenberg said in a televised interview that it was too soon to discuss further interest rate cuts in the euro zone .,1
"Teenagers at high schools where condoms were available were no more likely to have sex than other teens , a study published Wednesday finds .","Teen-agers at high schools where condoms are available are no more likely to have sex than other teens , a study says .",1
"Later in the day , however , a former Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too difficult to install .","And Thursday , a former Intel exec blasted wireless as too insecure , too complicated , and too difficult to install .",1
He is charged in three bombings in Atlanta _ including a blast at the 1996 Olympics _ along with the bombing in Alabama .,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama .,1
"They were found in a stolen van , said James Flateau , a spokesman for the state Department of Correctional Services .","State troopers arrested the men in a stolen van at the Jubilee Market on Route 14 in Horseheads , said James Flateau , a Department of Correctional Services spokesman .",0
"On Thursday , a Post article argued that a 50 basis point cut from the Fed was more likely .","On Thursday , a Post article argued that a 50-basis-point cut was most likely .",1
"Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .",0
"He is one of two Democrats on the five-member FCC , and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws .","Copps , one of two Democrats on the five-member commission , has pushed for harsher penalties against radio and television stations that violate indecency laws .",1
"The city index outperformed the Dow Jones industrial average , which fell 0.9 percent for the week .","The blue-chip Dow Jones industrial average .DJI tacked on 97 points , or 1.14 percent , to 8,699 .",0
"State media said there were at least 770 dead and over 5,600 injured .","The latest toll given by officials to state media was 643 dead and over 4,600 injured .",1
The March downturn was the only break in what has been broad growth in services for the past 15 months .,A downturn in services activity in March was the only break in what has been broad growth in services for the past 15 months .,1
"In the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 % -- the biggest drop in more than a decade , "" Lieberman said .","In the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent - the biggest drop in more than a decade .",1
"The statistical analysis was published Tuesday in Circulation , a journal of the American Heart Association ( news - web sites ) .",Their findings were published Monday in Circulation : The Journal of the American Heart Association .,1
President George W. Bush and top administration officials cited the threat from Iraq 's banned weapons programs as the main justification for going to war .,President Bush and top officials in his administration cited the threat from Iraq 's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war .,1
"The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months .",1
""" This man gambled with our lives and we , the passengers , lost , "" said Andres Rivera Jr . , who was also on the bus .",""" This man gambled with our lives and we , the passengers , lost , "" said passenger Andres Rivera Jr . , whose 15-year-old niece , Jazmine Santiago , was killed .",0
IG Farben 's 500 properties were valued at around 38-million euros ( about R300-million ) and the firm had debts totalling about 28-million .,IG Farben 's 500 properties were valued at around 38 million euros ( $ 43.63 million ) and the firm had debts totalling some 28 million euros .,1
"The company 's operating loss rose 59 percent to $ 73 million , from $ 46 million a year earlier .",Operating revenue fell 4.5 percent to $ 2.3 billion from a year earlier .,0
"The agent , Bassem Youssef , filed the lawsuit on Friday in Federal District Court for the District of Columbia .",The lawsuit was filed on Friday at the US District Court for the District of Columbia .,1
""" Smallpox is not the only threat to the public 's health , and vaccination is not the only tool for smallpox preparedness , "" Strom said .",""" Smallpox is not the only threat to the nation 's health , and vaccination is not the only tool for preparedness , "" his introductory statement says .",1
"Mr Abbas said : "" Every day without an agreement is an opportunity that was lost .","His Palestinian counterpart , Mahmoud Abbas , replied that "" every day without an agreement is an opportunity that was lost .",1
"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue . ""","Alhart said the governor "" remains hopeful that the city will continue to work with us and engage in good-faith discussions . """,1
"Later in the day , a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound .",French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound .,1
""" By its actions , the Bush administration threatens to give a bad name to a just war , "" Lieberman said .",""" By its actions , the Bush administration threatens to give a bad name to a just war , "" the Connecticut Democrat told a Capitol Hill news conference .",1
"Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,0
"Even without call center requests , companies using the handset option must have 95 percent of their customers using the technology by the end of 2005 .",Those that choose the handset option must have 95 percent of their customers using the technology by the end of 2005 .,0
About 120 potential jurors were being asked to complete a lengthy questionnaire .,The jurors were taken into the courtroom in groups of 40 and asked to fill out a questionnaire .,1
Microsoft fell 5 percent before the open to $ 27.45 from Thursday 's close of $ 28.91 .,Shares in Microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a Nasdaq close of $ 28.91 .,0
"U.S. Airways ordered 85 Bombardier jets with 50 seats and 75 seats and 85 Embraer jets with 70 seats , it said in a release .","Bombardier and Embraer will each deliver 85 jets by September 2006 , U.S. Airways said in a release .",0
The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .",1
"The 39-year-old Luster initially gave police a false name , but later revealed his true identity .",Barrera said Luster gave police a false name immediately after his arrest Wednesday but later revealed his true identity .,1
"In a statement distributed Friday , 28 Chechen non-governmental organizations said they would boycott the vote .","In a statement distributed today , 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud .",0
"If the companies won 't , their drugs could be prescribed to Medicaid patients only with the state 's say-so .","If a company won 't do so , its drugs could be prescribed to Medicaid patients only with the state 's say-so .",1
""" It 's a huge black eye , "" said New York Times Company chairman Arthur Sulzberger .",""" It 's a huge black eye , "" said publisher Arthur Ochs Sulzberger Jr . , whose family has controlled the paper since 1896 .",0
"Singer Brandy and her husband , Robert Smith , have called it quits .","Brandy and Husband SplitR 'n'b star Brandy and Robert Smith , her husband of two years have split up .",1
"She told Murray , "" We ... we have ... the fresh air is going down fast ! """,""" The fresh air is going down fast ! "" she screamed at Murray .",1
""" The president 's campaign in 2000 set a standard for disclosure in political fund raising , and the campaign will again in 2004 , "" Bush campaign spokesman Dan Ronayne said .",""" The president 's campaign in 2000 set a standard for disclosure in political fund raising and the campaign will again in 2004 , "" said Dan Ronayne , a campaign spokesman .",1
"On April 11 , Mayor Bart Peterson said it was "" inconceivable "" that the airline would resume operations at the base that had employed 1,500 workers , including 1,100 mechanics .","On April 11 , Mayor Bart Peterson conceded that the facility 's fate was inevitable , quashing the hopes of the airline 's 1,500 local workers , including 1,100 mechanics .",1
Dotson was arrested Monday in his native Maryland and charged with murder .,"Dotson , 21 , was subsequently charged with Dennehy 's murder .",0
Another was in serious condition at Northwest Medical Center in Springdale .,"At Northwest Medical Center of Washington County in Springdale , one child is in serious condition .",1
"With the exception of dancing , physical activity did not decrease the risk .",Dancing was the only physical activity associated with a lower risk of dementia .,1
"The 1 5 / 8 percent note maturing in April 2005 gained 1 / 16 to 100 13 / 32 , lowering its yield 1 basis points to 1.41 percent .",The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,0
"Mr. Bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .","In Texas , public watchdog groups opposed Mr. Bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",0
"Williams was White , and four of his victims were Black ; the fifth was White .",Four of those killed by Williams were black ; the other was white .,1
"A hearing on the matter was held Thursday morning in Fulton County Superior Court , marking one of the early steps in deciding the case of Matthew Whitley .",A hearing Thursday morning before Judge Elizabeth Long in Fulton County Superior Court marked one of the first steps in deciding the case of Matthew Whitley .,1
Arts helped coach the youth on an eighth-grade football team at Lombardi Middle School in Green Bay .,The boy was a student at Lombardi Middle School in Green Bay .,0
Atlantic Coast will continue its operations as a Delta Connections carrier .,"It will continue its regional service for Delta Air Lines DAL.N , Atlantic Coast said .",1
""" It 's amazing to be part of an industry that rewards its young , "" said Hernandez , who is a recent graduate of Parsons School of Design .",""" It 's amazing to be part of an industry that rewards its young , "" said Hernandez , who only graduated from Parsons School of Design last May .",1
The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey .,Sir Richard was speaking after a meeting in London with Australian Tourism Minister Joe Hockey .,1
"Ryan Harvey , an outfielder from Dunedin High School in Florida , was selected with the sixth pick by the Chicago Cubs .","Ryan Harvey , a high school outfielder from Florida , was chosen sixth by the Cubs .",1
"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0
"Technology stocks make up 42 percent of the Nasdaq , which fell 49.95 points , or 2.9 percent , to 1,698.02 .","The Nasdaq fell 49.95 points , or 2.86 percent , to end at 1,698.02 , based on the latest available data .",0
"Thomas was joined in full by Rehnquist , and in parts by O 'Connor and Scalia .",He was joined by Chief Justice William H. Rehnquist and Justices Sandra Day O 'Connor and Antonin Scalia .,1
"The bulk of the funds , some $ 65 billion , will go for military operations in Iraq and Afghanistan .",The bulk of the bill - $ 64.7 billion - goes for military operations primarily in Iraq and Afghanistan .,1
"The new capabilities will provide IBM customers a way to create , publish , manage and archive Web-based content within a corporate intranet , extranet and Internet environment .","The product will be targeted at companies that need to create , publish , manage and archive web-based content within a corporate intranet , extranet and internet environment .",1
"When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , a UC Berkeley law professor .","When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , who teaches law at the University of California , Berkeley .",1
"A $ 500 million natural-gas-fired power plant , for example , could replace up to $ 100 million in boilers yearly without adding new smog controls .","A $ 500 million coal-fired power plant , for example , could replace $ 100 million in equipment yearly without adding new pollution controls .",1
"On Sunday , the experts will perform the first simultaneous release of five whales from a single stranding incident in the United States .","Today , the experts will perform the United States ' first simultaneous release of five whales from a single stranding incident .",1
"Shares of AstraZeneca AZN.N , Europe 's second biggest drugmaker , rose 3.71 percent to close at $ 43.05 on the New York Stock Exchange .","Shares of AstraZeneca , Europe ’ s second biggest drug company , rose 3 per cent on the New York Stock Exchange after the news .",0
"Gov. Rick Perry has said that while he opposes gambling expansion , he would be reluctant to veto continuation of the Lottery Commission .","Gov. Rick Perry opposes expansion of gambling but has said he would be "" hard-pressed "" to veto the lottery sunset bill .",1
""" This blackout was largely preventable , "" Energy Secretary Spencer Abraham said .",""" Things go wrong , "" U.S. Energy Secretary Spencer Abraham said Wednesday at the Department of Energy .",0
"Typhoon Maemi later moved out over the Sea of Japan , where it weakened considerably , the meteorology department said .","Typhoon Maemi was on Saturday night moving over the Sea of Japan , where it had weakened considerably , the meteorology department said .",1
"Along with chip.m.aker Intel , the companies include Sony Corp. , Microsoft Corp. , Hewlett-Packard Co . , International Business Machines Corp. , Gateway Inc . , Nokia Corp. and others .","Along with chip maker Intel , the companies include Sony , Microsoft , Hewlett-Packard , International Business Machines , Gateway , Nokia and others .",1
"Officials developed plans to burn about 2,000 acres of dense forest near the park 's southwest border by dropping incendiary devices , hoping to burn off fuel from the wildfire 's path .","Officials tentatively planned to burn about 2,000 acres of dense forest by dropping incendiary devices from the air , aiming to remove fuel from the wildfire 's path .",1
"At last nights protest , demonstratorschanted "" tapping our phones , reading our mail , the LEIU should go to jail . ""","Protesters chanted , "" Tapping our phones , reading our mail , the LEIU should go to jail , "" put on small skits and danced to drumbeats .",0
""" It still remains to be seen whether the revenue recovery will be short-lived or long-lived , "" Mr. Sprayregen said .",""" It remains to be seen whether the revenue recovery will be short- or long-lived , "" said James Sprayregen , UAL bankruptcy attorney , in court .",1
"Some 14,000 customers were without power in the area , Oklahoma Gas and Electric said .","About 38,000 OGE Energy Corp. customers are without power , the company said on its Web site .",1
""" The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 percent "" growth rate , George Scalise , the trade association 's president , said in a statement .",""" The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 per cent ' ' growth rate "" , said George Scalise , the association 's president .",1
Eighty-six seriously wounded U.N. workers were airlifted out for medical care .,Eighty-six U.N. workers who were wounded in Tuesday 's bombing were airlifted out for medical care .,1
"Burns believed that confessing a crime he did not commit was the only way out , Richardson said .","To the frightened Burns , Richardson said , confessing a crime he did not commit looked like the only out .",1
"Phone calls to Spitzer 's office , Citigroup and Goldman Sachs were not immediately returned .",A message left with Spitzer 's office as well as Citigroup and Goldman Sachs were not immediately returned .,1
"Instead , the high court said that drug makers did not adequately show why the plan should be prevented from taking effect .",Stevens said that the drug manufacturers had not shown why the plan should be prevented from taking effect .,1
Medical experts said the condition was mildly worrying but easily-manageable .,Medical experts said Blair 's problem was worrying but relatively common and easily manageable .,1
"Joan B. Kroc , the billionaire widow of McDonald 's Corp. founder Ray Kroc , died Sunday after a brief bout with brain cancer .","Joan B. Kroc , the billionaire widow of McDonald 's founder Ray Kroc known for her philanthropy , died Sunday of brain cancer .",1
"The company has expanded into providing other services for buyers , including payment services .","The company has expanded those basic services , offering payment and even financing .",1
A Lamar mother arrested Saturday in Colorado Springs is accused of drowning her two children in a bathtub before slitting her wrists .,"A 32-year-old mother of two is suspected of drowning her children in a bathtub before slashing her wrists in an unsuccessful suicide attempt , police said .",1
She was surrounded by about 50 women who regret having abortions .,She was surrounded by about 50 women who have had abortions but now regret doing so .,1
"Revelations of the expenditures shocked some employees at Delta , an airline that is cutting jobs as it struggles with increased security costs and fewer passengers .","Revelations of the expenditures shocked some employees at Delta , an airline that has posted huge losses and cut jobs as it struggles with increased security costs and fewer passengers .",1
"The search was concentrated in northeast Pennsylvania , but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now .","The search was concentrated in northeastern Pennsylvania , but State Police Trooper Tom Kelly acknowledged that Selenski could be out of the area .",1
The calculation shows that the number of deaths from pneumonia and influenza have exceeded the usual number for recent weeks .,One is a statistical calculation based on the number of deaths from pneumonia and influenza in 122 cities .,0
"Researchers at Sweden 's Karolinska Institute reanalyzed data from more than 2,000 infants who had been treated with radiation for a benign birthmark condition between 1930 and 1959 .","Researchers at Sweden 's Karolinska Institute recently went over data from more than 2,000 children treated with radiation for a harmless birthmark condition between 1930 and 1959 .",1
"Outside the court , Sriyanto , who faces up to 25 years ' jail , denied he had done anything wrong .","Outside the court , Sriyanto denied to The Age that he had done anything wrong .",0
"The state , which previously conducted two triple executions and two double executions , says the policy is designed to reduce stress on its prison staff .","The state previously conducted two triple executions and two double executions , a practice it says is intended to reduce stress on the prison staff .",1
"The little girl , the daughter of a teller , was taken to the bank after a doctor 's appointment .","Earlier in the evening , the mother , whom authorities did not identify , had brought her daughter to the bank after a doctor 's appointment .",1
At least 23 U.S. troops have been killed by hostile fire since Bush declared major combat in Iraq to be over on May 1 .,At least 26 American troops have been killed in hostile fire since major combat was officially declared over on May 1 .,1
""" Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chipset , "" the company said in a statement .","Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chip-set . """,1
"Even later in life , he was still cashing in : lately , he earned money by calling fans on the telephone with the service www.HollywoodIsCalling.com.","Lately , he had earned money by calling fans on the telephone , taking part in the service www.HollywoodIsCalling.com.",1
The transaction will expand Callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .,The transaction will expand Callebaut 's sales revenues from its consumer products business by around 45 percent to some one-third of total sales .,0
"A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . """,""" Rudolph ate here "" , joked a sign outside one restaurant .",0
"In a statement , the company said both bids would allow Vivendi to "" maintain a substantial minority interest in a U.S. media corporation with excellent growth potential . ""","It also added that both proposals would allow Vivendi Uni to maintain "" a substantial minority interest in a U.S. media corporation with excellent growth potential . """,1
"In Vienna , the IAEA said ElBaradei would accept the invitation , although no date had yet been set .","In Vienna , the International Atomic Energy Agency said on Monday ElBaradei had accepted Iran 's invitation , but said no date had yet been set .",1
"Strikingly , the poll saw little difference between women and men in their feelings towards Mrs Clinton .","Strikingly , the poll saw very little difference between women and men in their feelings about the former First Lady .",1
"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .","The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",0
"From July 1 , 2002 , to June 30 , 2003 , the organization said it spent $ 114.3 million but took in only $ 39.5 million .","Between July 1 , 2002 and June 30 , 2003 , the Red Cross spent $ 114 million on disaster relief , while taking in only $ 39.5 million .",1
"Hundreds of reporters and photographers swamped the courthouse grounds before the hearing , which was carried live on national cable networks .",Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks .,0
"The 20 master computers are located in the United States , Canada and Korea , Mr. Kuo said .","The computers were located in the United States , Canada and South Korea , he said .",1
They said : “ We believe that the time has come for legislation to make public places smoke-free .,""" The time has come to make public places smoke-free , "" they wrote in a letter to the Times newspaper .",1
Milwaukee prosecutors charged a church minister with physical abuse in the death of an 8-year-old autistic boy who died during a healing service .,A church minister was charged yesterday in the death of an 8-year-old autistic boy who suffocated as church leaders tried to heal him at a storefront church .,1
Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years .,"In 1999 , two years before his death , Mr. Nielsen told an interviewer that he thought the rock face would outlive him by many years .",0
"The new effort , Taxpayers Against the Recall , will be formally launched Wednesday outside a Sacramento fire station .","Called "" Taxpayers Against the Recall , "" it was to be launched Wednesday afternoon outside a Sacramento fire station .",1
"Furthermore , chest tightness after exercise and prevalence of asthma were both linked to the amount of time spent at the pool .",Chest tightness after exercise and overall prevalence of asthma were also linked to the total amount of time spent at indoor pools .,1
British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River .,Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames .,1
Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .,Tony winners will be announced June 8 in televised ceremonies from Radio City Music Hall .,1
A lawsuit has been filed in an attempt to block the removal of the Ten Commandments monument from the building .,Supporters asked a federal court Monday to block the removal of a Ten Commandments monument from the Alabama Judicial Building .,1
""" I 'm quite positive about it except I wouldn 't want it to cut across anything now occurring and she accepts that , "" he said .",""" I 'm quite positive about it , except that I would not want to cut across things that are now occurring , "" he said .",0
""" I started crying and yelling at him , ' What do you mean , what are you saying , why did you lie to me ? ' ""","Gulping for air , I started crying and yelling at him , ' What do you mean ?",0
"Marisa Baldeo stated , however , the authority 's official uniform policy says "" they are not supposed to wear anything on their heads but a NYC transit depot logo cap .",""" As of now , they are not supposed to wear anything on their heads but a NYC transit depot logo cap , "" Baldeo said .",1
"The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .","The broad Standard & Poor 's 500 Index .SPX gained 11.22 points , or 1.13 percent , at 1,007.19 .",0
"Between 50 and 100 persons die annually from these allergies , and thousands more suffer severe reactions such as constricted breathing and dramatic swelling .","Between 50 and 100 people die a year due to these allergies , and thousands more suffer severe reactions such as constricted breathing and dramatic swelling .",1
Only Intel Corp. has a lower dividend yield .,Only Intel 's 0.3 percent yield is lower .,1
"Sean Harrigan of Calpers , the California fund , said : "" Today we are trying to pull the pig from the trough .",""" Today we are trying to pull the pig away from the trough , "" Mr. Harrigan said .",1
"That truck was spotted in the Campbells Creek area , fitting that description , Morris said .","A black pickup truck was also seen in the Campbells Creek area , Morris said .",1
"Initial autopsy reports show they died of dehydration , hyperthermia and suffocation .","Two more died later , and initial autopsy reports show they succumbed to dehydration , hypothermia and suffocation .",0
"Most of those on board were Lebanese but some were from Benin , Guinea and Sierra Leone .","Some of the passengers were from Benin , Guinea and Sierra Leone .",0
"A pamphlet will be issued to the public through major hardware chains , local libraries and on the EPA Web site : www.epa.gov.",It will be distributed through major hardware store chains and local libraries and will be available on the EPA Web site : www.epa.gov.,1
"The captain , Michael J. Gansas , was notified yesterday by the city 's Department of Transportation that an agency hearing officer recommended that he be fired .",Gansas got more bad news yesterday from the city Department of Transportation - a hearing officer recommended that he be fired .,1
"Since then , police divers have searched nearby parts of Long Island Sound looking for the remaining three .","Since then , police divers have searched those waters looking for the remaining three .",1
"Mr. Yandarbiyev resides in Doha , Qatar , and Russian authorities have unsuccessfully tried to have him extradited for nearly two years .","He resides in Doha , Qatar , from which Russian authorities have been trying to extradite him for nearly two years .",1

